Sıra No,Başvuru No,Çevre Kimlik No,İşletme Adı,İşletme Adres,Tesisi İli,Lisans Konuları,İzin Konuları,Belge Türü,Onay Tarihi,SertifikaId
1,544490,223543380,KARDEŞLER KUYUMCULUK SANAYİ VE TİCARET LİMİTED ŞİRKETİ,"İKİTELLİ OSB Mahallesi, ÇEVRE SAN. SİTESİ 3. BLOK SOKAK, No: 27 BAŞAKŞEHİR, İSTANBULTürkiye",İSTANBUL,Tehlikeli Atık Geri Kazanım,"Hava Emisyon, Gürültü Kontrolü, Atıksu Deşarjı",İzin ve Lisans Belgesi,09.05.2022,2765
2,544490,223543380,KARDEŞLER KUYUMCULUK SANAYİ VE TİCARET LİMİTED ŞİRKETİ,"İKİTELLİ OSB Mahallesi, ÇEVRE SAN. SİTESİ 3. BLOK SOKAK, No: 27 BAŞAKŞEHİR, İSTANBULTürkiye",İSTANBUL, Tehlikesiz Atık Geri Kazanım,"Hava Emisyon, Gürültü Kontrolü, Atıksu Deşarjı",İzin ve Lisans Belgesi,09.05.2022,2765
3,547155,305195148,RAMSED ENDÜSTRİYEL ATIK GERİ DÖNÜŞÜM ANONİM ŞİRKETİ,"HASANOĞLAN BAHÇELİEVLER Mahallesi, ODUNCU YOLU SOKAK, No: 42 ---, ELMADAĞ, ANKARA, Türkiye",ANKARA,Atık Ara Depolama,"Hava Emisyon, Gürültü Kontrolü, Atıksu Deşarjı",İzin ve Lisans Belgesi,05.04.2022,2765
4,536270,227178298,ÇAĞLAR KUYUMCULUK SAN.VE TİC.LTD.ŞTİ,"İKİTELLİ OSB Mahallesi, PİK DÖKÜMCÜLER B6 BLOK SOKAK, No:10-10, BAŞAKŞEHİR / İSTANBUL",İSTANBUL,Tehlikeli Atık Geri Kazanım,"Hava Emisyon, Gürültü Kontrolü, Atıksu Deşarjı",İzin ve Lisans Belgesi,30.03.2022,2765
5,536270,227178298,ÇAĞLAR KUYUMCULUK SAN.VE TİC.LTD.ŞTİ,"İKİTELLİ OSB Mahallesi, PİK DÖKÜMCÜLER B6 BLOK SOKAK, No:10-10, BAŞAKŞEHİR / İSTANBUL",İSTANBUL, Tehlikesiz Atık Geri Kazanım,"Hava Emisyon, Gürültü Kontrolü, Atıksu Deşarjı",İzin ve Lisans Belgesi,30.03.2022,2765
6,526770,223409640,CANLAR KUYUMCULUK SAN VE TİC.LTD.ŞTİ,"İKİTELLİ OSB Mahallesi, ÇEVRE 2. BLOK SOKAK, Çevre San. Sit. 2. Blok No: 20, BAŞAKŞEHİR / İSTANBUL",İSTANBUL,Tehlikeli Atık Geri Kazanım,"Hava Emisyon, Gürültü Kontrolü, Atıksu Deşarjı",İzin ve Lisans Belgesi,09.05.2022,2765
7,526770,223409640,CANLAR KUYUMCULUK SAN VE TİC.LTD.ŞTİ,"İKİTELLİ OSB Mahallesi, ÇEVRE 2. BLOK SOKAK, Çevre San. Sit. 2. Blok No: 20, BAŞAKŞEHİR / İSTANBUL",İSTANBUL, Tehlikesiz Atık Geri Kazanım,"Hava Emisyon, Gürültü Kontrolü, Atıksu Deşarjı",İzin ve Lisans Belgesi,09.05.2022,2765
8,539041,231755520,ATIKSA ENTEGRE ATIK YÖNETİMİ TİCARET LİMİTED ŞİRKETİ,"Kayapa Mah., Kayapa Sanayi Bulvarı, No: 20-, Nilüfer BURSA",BURSA,Atık Elektrikli ve Elektronik Eşya İşleme,"Hava Emisyon, Gürültü Kontrolü, Atıksu Deşarjı",İzin ve Lisans Belgesi,04.03.2022,2765
9,539041,231755520,ATIKSA ENTEGRE ATIK YÖNETİMİ TİCARET LİMİTED ŞİRKETİ,"Kayapa Mah., Kayapa Sanayi Bulvarı, No: 20-, Nilüfer BURSA",BURSA, Atık Ara Depolama,"Hava Emisyon, Gürültü Kontrolü, Atıksu Deşarjı",İzin ve Lisans Belgesi,04.03.2022,2765
10,535679,290008706,NİĞSA METAL GERİ DÖNÜŞÜM SANAYİ TİCARET LİMİTED ŞİRKETİ,"SAMURLU Mahallesi, 1247 SOKAK, No: 14 A-14 B, ALİAĞA, İZMİR, Türkiye",İZMİR,Tehlikeli Atık Geri Kazanım,"Hava Emisyon, Gürültü Kontrolü, Atıksu Deşarjı",İzin ve Lisans Belgesi,15.02.2022,2765
