Sıra No,İşletme Adı,Tesis İli,Lisans Konuları
1,RAMSED ENDÜSTRİYEL ATIK GERİ DÖNÜŞÜM ANONİM ŞİRKETİ,ANKARA,Atık Ara Depolama
2,KOZA ALTIN İŞLETMELERİ ANONİM ŞİRKETİ HİMMETDEDE ŞUBESİ,KAYSERİ,Maden Atığı Bertaraf- Depolama Kategori 
3,ATIKSA ENTEGRE ATIK YÖNETİMİ TİCARET LİMİTED ŞİRKETİ,BURSA,Atık Elektrikli ve Elektronik Eşya İşleme
3,ATIKSA ENTEGRE ATIK YÖNETİMİ TİCARET LİMİTED ŞİRKETİ,BURSA, Atık Ara Depolama
4,NİĞSA METAL GERİ DÖNÜŞÜM SANAYİ TİCARET LİMİTED ŞİRKETİ,İZMİR,Tehlikeli Atık Geri Kazanımı
4,NİĞSA METAL GERİ DÖNÜŞÜM SANAYİ TİCARET LİMİTED ŞİRKETİ,İZMİR, Atık Ara Depolama
5,NİĞSAN GERİ DÖNÜŞÜM METAL SANAYİ VE TİCARET LİMİTED ŞİRKETİ,NİĞDE,Tehlikeli Atık Geri Kazanımı
5,NİĞSAN GERİ DÖNÜŞÜM METAL SANAYİ VE TİCARET LİMİTED ŞİRKETİ,NİĞDE, Tehlikesiz Atık Geri Kazanımı
5,NİĞSAN GERİ DÖNÜŞÜM METAL SANAYİ VE TİCARET LİMİTED ŞİRKETİ,NİĞDE, Ömrünü Tamamlamış Araç Geçici Depolama
5,NİĞSAN GERİ DÖNÜŞÜM METAL SANAYİ VE TİCARET LİMİTED ŞİRKETİ,NİĞDE, Tanker Temizleme
5,NİĞSAN GERİ DÖNÜŞÜM METAL SANAYİ VE TİCARET LİMİTED ŞİRKETİ,NİĞDE, Hurda Metal /ÖTA İşleme
5,NİĞSAN GERİ DÖNÜŞÜM METAL SANAYİ VE TİCARET LİMİTED ŞİRKETİ,NİĞDE, Atık Elektrikli ve Elektronik Eşya İşleme
5,NİĞSAN GERİ DÖNÜŞÜM METAL SANAYİ VE TİCARET LİMİTED ŞİRKETİ,NİĞDE, PCB Arındırma
5,NİĞSAN GERİ DÖNÜŞÜM METAL SANAYİ VE TİCARET LİMİTED ŞİRKETİ,NİĞDE, Atık Ara Depolama
5,NİĞSAN GERİ DÖNÜŞÜM METAL SANAYİ VE TİCARET LİMİTED ŞİRKETİ,NİĞDE, Ambalaj Atığı Toplama ve Ayırma Tip 
6,YILMAZLAR HURDACILIK GERİ DÖNÜŞÜM SANAYİ VE TİCARET ANONİM ŞİRKETİ SİNCAN ŞUBESİ,ANKARA,Tehlikeli Atık Geri Kazanımı
6,YILMAZLAR HURDACILIK GERİ DÖNÜŞÜM SANAYİ VE TİCARET ANONİM ŞİRKETİ SİNCAN ŞUBESİ,ANKARA,Tehlikesiz Atık Geri Kazanımı
6,YILMAZLAR HURDACILIK GERİ DÖNÜŞÜM SANAYİ VE TİCARET ANONİM ŞİRKETİ SİNCAN ŞUBESİ,ANKARA, Ambalaj Atığı Geri Kazanımı
6,YILMAZLAR HURDACILIK GERİ DÖNÜŞÜM SANAYİ VE TİCARET ANONİM ŞİRKETİ SİNCAN ŞUBESİ,ANKARA, Ömrünü Tamamlamış Araç Geçici Depolama
6,YILMAZLAR HURDACILIK GERİ DÖNÜŞÜM SANAYİ VE TİCARET ANONİM ŞİRKETİ SİNCAN ŞUBESİ,ANKARA, Tanker Temizleme
6,YILMAZLAR HURDACILIK GERİ DÖNÜŞÜM SANAYİ VE TİCARET ANONİM ŞİRKETİ SİNCAN ŞUBESİ,ANKARA, Atık Elektrikli ve Elektronik Eşya İşleme
6,YILMAZLAR HURDACILIK GERİ DÖNÜŞÜM SANAYİ VE TİCARET ANONİM ŞİRKETİ SİNCAN ŞUBESİ,ANKARA, PCB Arındırma
6,YILMAZLAR HURDACILIK GERİ DÖNÜŞÜM SANAYİ VE TİCARET ANONİM ŞİRKETİ SİNCAN ŞUBESİ,ANKARA, Atık Ara Depolama
7,BEYSU ATIK YÖNETİMİ SANAYİ VE TİCARET LİMİTED ŞİRKETİ,DENİZLİ,Atık Ara Depolama
