Sıra No,Çevre Kimlik No,İşletme Adı,Tesisi İli,İşletme Adres,Lisans Konuları,İzin Konuları,Belge Türü,Onay Tarihi,Sertifika Süresi
1,258687624,ADR ENTEGRE ATIK YÖNETİMİ SANAYİ TİCARET LİMİTED ŞİRKETİ,İSTANBUL,"Orta Mah., Atayolu Cad., NO:8/44, Tuzla İSTANBUL",Tehlikeli Atık Geri Kazanımı,,İzin ve Lisans Belgesi,2022-04-20 00:00:00,2027-02-04 00:00:00
1,258687624,ADR ENTEGRE ATIK YÖNETİMİ SANAYİ TİCARET LİMİTED ŞİRKETİ,İSTANBUL,"Orta Mah., Atayolu Cad., NO:8/44, Tuzla İSTANBUL", Tehlikesiz Atık Geri Kazanımı,,İzin ve Lisans Belgesi,2022-04-20 00:00:00,2027-02-04 00:00:00
1,258687624,ADR ENTEGRE ATIK YÖNETİMİ SANAYİ TİCARET LİMİTED ŞİRKETİ,İSTANBUL,"Orta Mah., Atayolu Cad., NO:8/44, Tuzla İSTANBUL", Ambalaj Atığı Geri Kazanımı,,İzin ve Lisans Belgesi,2022-04-20 00:00:00,2027-02-04 00:00:00
1,258687624,ADR ENTEGRE ATIK YÖNETİMİ SANAYİ TİCARET LİMİTED ŞİRKETİ,İSTANBUL,"Orta Mah., Atayolu Cad., NO:8/44, Tuzla İSTANBUL", Tanker Temizleme,,İzin ve Lisans Belgesi,2022-04-20 00:00:00,2027-02-04 00:00:00
1,258687624,ADR ENTEGRE ATIK YÖNETİMİ SANAYİ TİCARET LİMİTED ŞİRKETİ,İSTANBUL,"Orta Mah., Atayolu Cad., NO:8/44, Tuzla İSTANBUL", Atık Elektrikli ve Elektronik Eşya İşleme,,İzin ve Lisans Belgesi,2022-04-20 00:00:00,2027-02-04 00:00:00
2,275061944,AYTAÇ HANOĞLU ATIK YÖNETİMİ VE GERİ DÖNÜŞÜM SANAYİ VE TİCARET ANONİM ŞİRKETİ,HATAY,Mahmutlu Mah. Mahmutlu Küme Evleri Küme Evler No: 213/2 Erzin/HATAY,Tehlikeli Atık Geri Kazanımı,Hava Emisyon,İzin ve Lisans Belgesi,2021-10-02 00:00:00,2026-10-02 00:00:00
2,275061944,AYTAÇ HANOĞLU ATIK YÖNETİMİ VE GERİ DÖNÜŞÜM SANAYİ VE TİCARET ANONİM ŞİRKETİ,HATAY,Mahmutlu Mah. Mahmutlu Küme Evleri Küme Evler No: 213/2 Erzin/HATAY,Tehlikesiz Atık Geri Kazanımı,Hava Emisyon,İzin ve Lisans Belgesi,2021-10-02 00:00:00,2026-10-02 00:00:00
2,275061944,AYTAÇ HANOĞLU ATIK YÖNETİMİ VE GERİ DÖNÜŞÜM SANAYİ VE TİCARET ANONİM ŞİRKETİ,HATAY,Mahmutlu Mah. Mahmutlu Küme Evleri Küme Evler No: 213/2 Erzin/HATAY, Hurda Metal /ÖTA İşleme,Hava Emisyon,İzin ve Lisans Belgesi,2021-10-02 00:00:00,2026-10-02 00:00:00
2,275061944,AYTAÇ HANOĞLU ATIK YÖNETİMİ VE GERİ DÖNÜŞÜM SANAYİ VE TİCARET ANONİM ŞİRKETİ,HATAY,Mahmutlu Mah. Mahmutlu Küme Evleri Küme Evler No: 213/2 Erzin/HATAY, Atık Elektrikli ve Elektronik Eşya İşleme,Hava Emisyon,İzin ve Lisans Belgesi,2021-10-02 00:00:00,2026-10-02 00:00:00
2,275061944,AYTAÇ HANOĞLU ATIK YÖNETİMİ VE GERİ DÖNÜŞÜM SANAYİ VE TİCARET ANONİM ŞİRKETİ,HATAY,Mahmutlu Mah. Mahmutlu Küme Evleri Küme Evler No: 213/2 Erzin/HATAY, PCB Arındırma,Hava Emisyon,İzin ve Lisans Belgesi,2021-10-02 00:00:00,2026-10-02 00:00:00
2,275061944,AYTAÇ HANOĞLU ATIK YÖNETİMİ VE GERİ DÖNÜŞÜM SANAYİ VE TİCARET ANONİM ŞİRKETİ,HATAY,Mahmutlu Mah. Mahmutlu Küme Evleri Küme Evler No: 213/2 Erzin/HATAY, Atıktan Türetilmiş Yakıt (ATY) Hazırlama Tesisi,Hava Emisyon,İzin ve Lisans Belgesi,2021-10-02 00:00:00,2026-10-02 00:00:00
3,227156722,RDF KONTAMİNE ATIK BERTARAF VE GERİ KAZANIM SANAYİ TİCARET ANONİM ŞİRKETİ ADANA ŞUBESİ,ADANA,"İncirlik Cumhuriyet Mahallesi Çimento Bulvarı No:37/F, Yüreğir / ADANA",Tehlikeli Atık Geri Kazanımı,Hava Emisyon,İzin ve Lisans Belgesi,2020-09-18 00:00:00,2025-09-23 00:00:00
