Sıra No,Çevre Kimlik No,İşletme Adı,Tesis İli,İşletme Adres,Lisans Konuları,İzin Konuları,Belge Türü,Onay Tarihi,Sertifika Süresi
1,305195148,RAMSED ENDÜSTRİYEL ATIK GERİ DÖNÜŞÜM ANONİM ŞİRKETİ,ANKARA,"HASANOĞLAN BAHÇELİEVLER Mahallesi, ODUNCU YOLU SOKAK, No: 42 ---, ELMADAĞ, ANKARA, Türkiye",Atık Ara Depolam,,İzin ve Lisans Belgesi,2022-05-04 00:00:00,2027-05-04 00:00:00
2,231755520,ATIKSA ENTEGRE ATIK YÖNETİMİ TİCARET LİMİTED ŞİRKETİ,BURSA,"Kayapa Mah., Kayapa Sanayi Bulvarı, No: 20-, Nilüfer BURSA",Atık Elektrikli ve Elektronik Eşya İşlem,,İzin ve Lisans Belgesi,2022-04-03 00:00:00,2027-04-03 00:00:00
2,231755520,ATIKSA ENTEGRE ATIK YÖNETİMİ TİCARET LİMİTED ŞİRKETİ,BURSA,"Kayapa Mah., Kayapa Sanayi Bulvarı, No: 20-, Nilüfer BURSA", Atık Ara Depolam,,İzin ve Lisans Belgesi,2022-04-03 00:00:00,2027-04-03 00:00:00
3,290008706,NİĞSA METAL GERİ DÖNÜŞÜM SANAYİ TİCARET LİMİTED ŞİRKETİ,İZMİR,"SAMURLU Mahallesi, 1247 SOKAK, No: 14 A-14 B, ALİAĞA, İZMİR, Türkiye",Tehlikeli Atık Geri Kazanı,,İzin ve Lisans Belgesi,2022-02-15 00:00:00,2027-02-15 00:00:00
3,290008706,NİĞSA METAL GERİ DÖNÜŞÜM SANAYİ TİCARET LİMİTED ŞİRKETİ,İZMİR,"SAMURLU Mahallesi, 1247 SOKAK, No: 14 A-14 B, ALİAĞA, İZMİR, Türkiye", Atık Ara Depolam,,İzin ve Lisans Belgesi,2022-02-15 00:00:00,2027-02-15 00:00:00
4,227240872,NİĞSAN GERİ DÖNÜŞÜM METAL SANAYİ VE TİCARET LİMİTED ŞİRKETİ,NİĞDE,"Organize Sanayi Bölgesi Mahallesi, 2-A Nolu Yol Caddesi, No:7-, Bor / NİĞDE",Tehlikeli Atık Geri Kazanı,,İzin ve Lisans Belgesi,2021-12-27 00:00:00,2026-12-27 00:00:00
4,227240872,NİĞSAN GERİ DÖNÜŞÜM METAL SANAYİ VE TİCARET LİMİTED ŞİRKETİ,NİĞDE,"Organize Sanayi Bölgesi Mahallesi, 2-A Nolu Yol Caddesi, No:7-, Bor / NİĞDE", Tehlikesiz Atık Geri Kazanı,,İzin ve Lisans Belgesi,2021-12-27 00:00:00,2026-12-27 00:00:00
4,227240872,NİĞSAN GERİ DÖNÜŞÜM METAL SANAYİ VE TİCARET LİMİTED ŞİRKETİ,NİĞDE,"Organize Sanayi Bölgesi Mahallesi, 2-A Nolu Yol Caddesi, No:7-, Bor / NİĞDE", Ömrünü Tamamlamış Araç Geçici Depolam,,İzin ve Lisans Belgesi,2021-12-27 00:00:00,2026-12-27 00:00:00
4,227240872,NİĞSAN GERİ DÖNÜŞÜM METAL SANAYİ VE TİCARET LİMİTED ŞİRKETİ,NİĞDE,"Organize Sanayi Bölgesi Mahallesi, 2-A Nolu Yol Caddesi, No:7-, Bor / NİĞDE", Tanker Temizlem,,İzin ve Lisans Belgesi,2021-12-27 00:00:00,2026-12-27 00:00:00
4,227240872,NİĞSAN GERİ DÖNÜŞÜM METAL SANAYİ VE TİCARET LİMİTED ŞİRKETİ,NİĞDE,"Organize Sanayi Bölgesi Mahallesi, 2-A Nolu Yol Caddesi, No:7-, Bor / NİĞDE", Hurda Metal /ÖTA İşlem,,İzin ve Lisans Belgesi,2021-12-27 00:00:00,2026-12-27 00:00:00
4,227240872,NİĞSAN GERİ DÖNÜŞÜM METAL SANAYİ VE TİCARET LİMİTED ŞİRKETİ,NİĞDE,"Organize Sanayi Bölgesi Mahallesi, 2-A Nolu Yol Caddesi, No:7-, Bor / NİĞDE", Atık Elektrikli ve Elektronik Eşya İşlem,,İzin ve Lisans Belgesi,2021-12-27 00:00:00,2026-12-27 00:00:00
4,227240872,NİĞSAN GERİ DÖNÜŞÜM METAL SANAYİ VE TİCARET LİMİTED ŞİRKETİ,NİĞDE,"Organize Sanayi Bölgesi Mahallesi, 2-A Nolu Yol Caddesi, No:7-, Bor / NİĞDE", PCB Arındırm,,İzin ve Lisans Belgesi,2021-12-27 00:00:00,2026-12-27 00:00:00
4,227240872,NİĞSAN GERİ DÖNÜŞÜM METAL SANAYİ VE TİCARET LİMİTED ŞİRKETİ,NİĞDE,"Organize Sanayi Bölgesi Mahallesi, 2-A Nolu Yol Caddesi, No:7-, Bor / NİĞDE", Atık Ara Depolam,,İzin ve Lisans Belgesi,2021-12-27 00:00:00,2026-12-27 00:00:00
4,227240872,NİĞSAN GERİ DÖNÜŞÜM METAL SANAYİ VE TİCARET LİMİTED ŞİRKETİ,NİĞDE,"Organize Sanayi Bölgesi Mahallesi, 2-A Nolu Yol Caddesi, No:7-, Bor / NİĞDE", Ambalaj Atığı Toplama ve Ayırma Tip ,,İzin ve Lisans Belgesi,2021-12-27 00:00:00,2026-12-27 00:00:00
5,288645542,YILMAZLAR HURDACILIK GERİ DÖNÜŞÜM SANAYİ VE TİCARET ANONİM ŞİRKETİ SİNCAN ŞUBESİ,ANKARA,"Cumhuriyet Mah. Ozan Cad. No:10, SİNCAN, ANKARA",Tehlikeli Atık Geri Kazanı,Hava Emisyon,İzin ve Lisans Belgesi,2022-05-04 00:00:00,2026-12-24 00:00:00
